"","county","year","dem.vote","dem.vote.perc","rep.vote","rep.vote.perc","oth.vote","oth.vote.perc","num.diff","perc.diff","winning.party","winner","turnout","turnout.perc","total.voting.age","dem.change","rep.change","oth.change","swing.num","swing.perc","swing.turnout","swing.turnout.perc","dem.wins","mostly.dem","dem.2016","most.turnout.drop","most.turnout.drop","use.machines.prop","machine.most.used","all.machines","ftotinc"
"28","Jefferson",2016,16559,39.12,23409,55.31,2356,5.56,6850,16.19,"Rep","Trump",42324,64.8593977472991,65255,-6.40291050337617,2.20144328267203,4.19146722070414,3491,8.6043537860482,-1957,-4.09049481288281,1,"Mostly Rep","Rep2016","Large turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly voting machines",NA
"29","Juneau",2016,4100,34.94,7188,61.25,448,3.82,3088,26.31,"Rep","Trump",11736,54.353464246017,21592,-17.83754291029,15.49875285364,2.34879005665004,3919,33.33629576393,-91,-1.30300634221825,2,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.0357142857142857,"ES&S","Some or no voting machines",NA
"30","Kenosha",2016,35770,47.17,36025,47.51,4030,5.31,255,0.339999999999996,"Rep","Trump",75825,59.9824383761035,126412,-8.29188362980086,4.27353882096988,4.00834480883098,10145,12.5654224507707,-5072,-5.04207733806736,4,"Mostly Dem","Rep2016","Large turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly voting machines",80153.4771450022
"31","Kewaunee",2016,3623,33.73,6616,61.59,503,4.69,2993,27.86,"Rep","Trump",10742,66.7578149275993,16091,-12.9584117060796,9.51969103923167,3.44872066684788,2399,22.4781027453112,-295,-2.93781528204963,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"ES&S","Mostly voting machines",NA
"32","La Crosse",2016,32402,51.61,26384,42.02,3999,6.38,-6018,-9.59,"Dem","Clinton",62785,67.6912627220976,92752,-6.20885222652926,1.44296177239924,4.77589045413003,4924,7.6518139989285,-677,-1.83099224322999,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",1,"ES&S","Mostly voting machines",96711.3737051733
"33","Lafayette",2016,3288,43.25,3977,52.32,337,4.43,689,9.07,"Rep","Trump",7602,59.4510049268789,12787,-13.7922535211268,10.6449496981891,3.14730382293763,1911,24.4372032193159,-350,-3.74034917356615,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.0384615384615385,"ES&S","Some or no voting machines",NA
"34","Langlade",2016,3260,32.3,6436,63.77,397,3.93,3176,31.47,"Rep","Trump",10093,63.0379114358878,16011,-11.1737142313908,8.47957315334158,2.69414107804924,1933,19.6532873847324,-426,-3.71972009295649,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.0526315789473684,"ES&S","Some or no voting machines",NA
"35","Lincoln",2016,5370,36.87,8400,57.68,793,5.45,3030,20.81,"Rep","Trump",14563,63.3890484895969,22974,-12.8342586750789,8.68552050473186,4.148738170347,3138,21.5197791798107,-653,-3.90860741487012,2,"Mostly Rep","Rep2016","Large turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly voting machines",NA
"36","Manitowoc",2016,14563,36.42,23234,58.1,2194,5.5,8671,21.68,"Rep","Trump",39991,61.9813704065343,64521,-11.4552610460614,7.40661473121055,4.06864631485088,7470,18.861875777272,-2626,-5.13307234059556,1,"Mostly Rep","Rep2016","Large turnout change 2016","Large turnout change 2016",0.566666666666667,"ES&S","Some or no voting machines",NA
"37","Marathon",2016,26476,38.46,39010,56.66,3363,4.88,12534,18.2,"Rep","Trump",68849,66.4482256087557,103613,-7.86418195871862,4.2466708654204,3.61751109329822,8280,12.110852824139,-1013,-2.06273818522699,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"ES&S","Mostly voting machines",97035.3726290716
